"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL258202";"";"None";"346.46";"0";"3.27";"6e, BMS-640994";"CC[C@@H](C)Nc1ncc(C(=O)Nc2cc(C(=O)NC)ccc2C)s1";"Stability";"'='";"0.0";"nmol/min/mg";"";"";"";"";"";"";"";"";"0";"CHEMBL929959";"Metabolic stability in mouse liver microsomes";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1141541";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";""
"CHEMBL429143";"";"None";"531.59";"2";"5.44";"18";"Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)c5cccc(CN(C)C)c5)c(C)c34)ccc2[nH]1";"Stability";"'='";"27.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL935243";"Stability in CD1 mouse liver S9 fraction assessed as prodrug hydrolysis at 20 uM after 5 mins";"A";"BAO_0000220";"subcellular format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"S9 fraction";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1141628";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";""
"CHEMBL391653";"";"None";"479.40";"0";"3.64";"41";"CC(C)(Oc1c(Cl)cc(F)cc1Cl)C(=O)N[C@H]1C2CC3CC1C[C@](S(N)(=O)=O)(C3)C2";"Stability";"'='";"55.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL902364";"Metabolic stability in mouse liver microsomes assessed as compound remaining after 30 mins";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1138395";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";""
"CHEMBL1243283";"";"None";"567.00";"1";"4.89";"16";"CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CNCc1cn(CCF)nn1";"Stability";"'='";"85.06";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1246647";"Metabolic stability in mouse liver assessed as compound remaining at 3.7 MBq after 30 mins";"A";"BAO_0000221";"tissue-based format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1240526";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";""
"CHEMBL1911585";"";"None";"330.84";"0";"4.48";"2a";"N#Cc1c(O)nc(SCc2ccccc2Cl)c2c1CCCC2";"Stability";"'='";"0.17";"nmol/min";"";"";"";"";"";"";"";"";"0";"CHEMBL1913244";"Metabolic stability of the compound in mouse liver microsomes assessed as stability rate per mg of protein at 300 uM after 10 mins by LC-MS/MS analysis in presence of NADPH";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1909577";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";""
"CHEMBL1802943";"";"None";"313.76";"0";"1.66";"102";"COc1cc2[nH]c3c(c(=O)c2cc1Cl)CS(=O)(=O)CC3";"Stability";"";"";"%";"";"";"Stable";"UO_0000187";"";"";"";"";"0";"CHEMBL1804801";"Stability in mouse liver microsomes";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1799910";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
"CHEMBL1234833";"";"None";"385.47";"0";"1.59";"4k, BS-194";"CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@H](O)CO)nc12";"Stability";"'='";"29.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1805741";"Metabolic stability in mouse liver microsomes as compound remaining at 1 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1800061";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";""
"CHEMBL1093135";"";"None";"453.37";"1";"6.37";"[125I] -10";"COc1ccc2nc(-c3ccc(-c4ccc([125I])s4)s3)sc2c1";"Stability";"'='";"71.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1103657";"Stability in mouse liver homogenate assessed as deiodination after 2 hrs by HPLC analysis";"A";"BAO_0000221";"tissue-based format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1156337";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";""
"CHEMBL2430166";"";"None";"633.80";"2";"6.36";"43";"Cc1cc(CC(OC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)c2ncc3n2CCN(C2CCCCC2)C3)cc2cn[nH]c12";"Stability";"'='";"21.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2433979";"Metabolic stability in mouse liver microsomes assessed as compound remaining";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2429735";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";""
"CHEMBL2430172";"";"None";"656.38";"2";"5.62";"28";"Cc1cc(CC(NC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)c2nc(Br)c(Br)[nH]2)cc2cn[nH]c12";"Stability";"";"";"%";"";"";"Not Determined";"UO_0000187";"";"";"";"";"0";"CHEMBL2433979";"Metabolic stability in mouse liver microsomes assessed as compound remaining";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2429735";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";""
