"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL3608847";"";"None";"359.26";"0";"2.78";"27";"O=[N+]([O-])c1cn2c(n1)OC[C@@H](COc1ccc(OC(F)(F)F)cc1)C2";"Stability";"'='";"91.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3610989";"Metabolic stability in human liver microsomes assessed as compound remaining after 1 hr";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3608202";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";""
"CHEMBL3608851";"";"None";"435.36";"0";"4.44";"31";"O=[N+]([O-])c1cn2c(n1)OCC(COc1ccc(-c3ccc(OC(F)(F)F)cc3)cc1)C2";"Stability";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3610989";"Metabolic stability in human liver microsomes assessed as compound remaining after 1 hr";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3608202";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";""
"CHEMBL3623442";"";"None";"371.89";"1";"5.43";"22c";"Cc1ccc(-c2cnccc2-c2cnc(NC(=O)C(C)C)s2)c(Cl)c1";"Stability";"'='";"3.7";"ml/min";"";"";"";"";"";"";"";"";"0";"CHEMBL3624104";"Metabolic stability in human liver microsome assessed per gram of tissue";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3621108";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";""
"CHEMBL3735045";"";"None";"429.55";"0";"2.87";"17";"Cc1nc2cnc(Nc3ccnc(N4CCC(S(C)(=O)=O)CC4)n3)cc2n1C(C)C";"Stability";"";"";"%";"";"";"Stable";"UO_0000187";"";"";"";"";"0";"CHEMBL3736989";"Stability in human liver microsomes";"A";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3734664";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";""
"CHEMBL3735559";"";"None";"379.47";"0";"3.38";"28";"Cc1nc2cnc(Nc3ccnc(/C=C/C(C)(C)C(N)=O)n3)cc2n1C(C)C";"Stability";"";"";"%";"";"";"Stable";"UO_0000187";"";"";"";"";"0";"CHEMBL3736989";"Stability in human liver microsomes";"A";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3734664";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";""
"CHEMBL3617334";"";"None";"406.36";"1";"5.39";"12";"CNc1nc(NCC(F)(F)F)c2sc(-c3ccc(C(F)(F)F)cc3)cc2n1";"Stability";"'='";"75.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3620188";"Metabolic stability of the compound in human liver microsomes at 0.1 uM after 30 mins by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3616374";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";""
"CHEMBL3617349";"";"None";"485.58";"1";"6.35";"27";"CN(C)CCCNc1nc(NCc2ccccc2)nc2cc(-c3ccc(C(F)(F)F)cc3)sc12";"Stability";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3620188";"Metabolic stability of the compound in human liver microsomes at 0.1 uM after 30 mins by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3616374";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";""
"CHEMBL3618192";"";"None";"416.80";"1";"5.01";"5";"O=C(Nc1cc(F)cc(C(F)(F)F)c1)N1CCC(O)(c2ccc(Cl)cc2)CC1";"Stability";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3619047";"Metabolic stability in human liver microsome assessed as compound remaining after 15 mins by LC-MS/MS analysis";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3616460";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";""
"CHEMBL3736433";"";"None";"260.15";"None";"None";"2";"CB1C=Cc2cccc(OCC(O)CN(C)C)c2N1";"Stability";"";"";"%";"";"";"Stable";"UO_0000187";"";"";"";"";"0";"CHEMBL3738830";"Metabolic stability in human liver microsomes assessed as GSH adduct formation at 40 uM for 1 hr by LC/MS analysis";"A";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3734721";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";""
"CHEMBL3604376";"";"None";"421.93";"1";"5.67";"23";"Clc1ccc2c(Nc3ccc4oc(NCCN5CCCCC5)nc4c3)ccnc2c1";"Stability";"'='";"71.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3607584";"Metabolic stability in human liver microsomes assessed as compound remaining at 1 mM after 30 mins by HPLC-MS/MS analysis in presence of NADPH";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3603782";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";""
