"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL3618195";"";"None";"445.25";"1";"6.02";"8";"O=C(Nc1cc(F)cc(C(F)(F)F)c1)N1CCC(c2ccc(Br)cc2)CC1";"Stability";"'='";"85.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3619048";"Metabolic stability in rat liver microsome assessed as compound remaining after 15 mins by LC-MS/MS analysis";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3616460";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";""
"CHEMBL3586340";"";"None";"419.91";"1";"5.08";"32";"COc1cc(-n2cc(Cl)c3ccccc32)cc2c1OCCN(Cc1cccnc1)C2";"Stability";"";"";"%";"";"";"Unstable";"UO_0000187";"";"";"";"";"0";"CHEMBL3588447";"Metabolic stability in rat liver microsomes at 10 uM by LC-MS analysis";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3585259";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";""
"CHEMBL3804970";"";"None";"491.95";"1";"5.28";"22";"Cc1noc(C)c1[C@@H]1C[C@@](C)(c2cc(NC(=O)c3ccc(Cl)cn3)c(F)cc2F)N=C(N)S1";"Stability";"'='";"76.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3806659";"Metabolic stability in rat liver microsomes assessed as parent compound remaining at 0.5 uM after 10 mins";"A";"BAO_0000221";"tissue-based format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3804782";"1";"Scientific Literature";"ACS Med Chem Lett";"2016";"None";"";""
"CHEMBL3315045";"";"None";"392.46";"1";"5.80";"14b";"Cc1cnc2c(-c3ccc(Oc4ncccc4-c4ccncc4)cc3)cn(C)c2c1";"Stability";"'='";"46.2";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3368992";"Metabolic stability in Wistar rat liver microsomes incubated for 10 mins prior to NADPH addition measured after 60 mins by LC/MS/MS analysis";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3352660";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";""
"CHEMBL495187";"";"None";"195.60";"0";"1.89";"5b";"O=c1[nH]c2cccc(Cl)c2cc1O";"Stability";"'<'";"1.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3384563";"Drug metabolism in rat liver microsomes assessed as glucuronidation of compound measured as compound remaining after 30 mins by LC/MS analysis";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3351460";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"None";"";""
"CHEMBL3359077";"";"None";"429.48";"0";"3.48";"9m";"COc1cccc(CNC(=O)c2nc3cccc(OCCc4ccccc4)c3c(=O)[nH]2)c1";"Stability";"'='";"170.0";"uL/min/kg";"";"";"";"";"";"";"";"";"0";"CHEMBL3389272";"Metabolic stability in rat liver microsomes";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3352689";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";""
"CHEMBL3353484";"";"None";"485.01";"0";"4.59";"39";"CC1(C(=O)N(CCC(=O)O)Cc2ccc(Cl)cc2)CCN1C(=O)Cc1csc2ccccc12";"Stability";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3382550";"Stability in rat liver microsomes assessed as parent compound remaining at 3 uM incubated for 30 mins by LC-MS/MS method";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3352744";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";""
"CHEMBL3353471";"";"None";"470.01";"0";"3.78";"26";"Cc1cc(C)cc(CC(=O)N2CCC2(C)C(=O)N(CCCC(N)=O)Cc2ccc(Cl)cc2)c1";"Stability";"'='";"22.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3382550";"Stability in rat liver microsomes assessed as parent compound remaining at 3 uM incubated for 30 mins by LC-MS/MS method";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3352744";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";""
"CHEMBL3353465";"";"None";"451.98";"0";"4.64";"20";"CC1(C(=O)N(CC#N)Cc2ccc(Cl)cc2)CCN1C(=O)Cc1csc2ccccc12";"Stability";"'='";"2.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3382549";"Stability in rat liver microsomes assessed as parent compound remaining at 3 uM incubated for 60 mins by LC-MS/MS method";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3352744";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";""
"CHEMBL3353001";"";"None";"426.97";"0";"4.75";"4";"CN(Cc1ccc(Cl)cc1)C(=O)C1(C)CCN1C(=O)Cc1csc2ccccc12";"Stability";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3382549";"Stability in rat liver microsomes assessed as parent compound remaining at 3 uM incubated for 60 mins by LC-MS/MS method";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3352744";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";""
"CHEMBL3120454";"";"None";"823.03";"2";"7.93";"20";"COC(=O)N[C@H](C(=O)N1C[C@@H](C)C[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cc5[nH]c([C@@H]6C[C@H](C)CN6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5s4)cc3)cc2)[nH]1)C(C)C";"Stability";"'='";"91.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3123874";"Metabolic stability in rat liver microsomes assessed as intact compound level at 5 uM after 1 hr";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3120109";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"None";"";""
