"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL253230";"";"None";"547.68";"1";"1.85";"30";"Cc1cc(C#N)ccc1C1CCN(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)OC[C@H]3CCCN3)CC2)CC1";"Stability";"'>'";"60.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL927860";"Metabolic stability in human liver microsomes";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1140810";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";""
"CHEMBL595043";"";"None";"357.38";"1";"5.28";"18a";"CC(C)(C)c1ccc(-c2ccn3c(CC(F)(F)F)cnc3c2C#N)cc1";"Stability";"'='";"21.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1047689";"Metabolic stability in human liver microsomes assessed as compound metabolized at 5 uM after 15 mins";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1153142";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";""
"CHEMBL205931";"";"None";"400.32";"0";"3.28";"6g";"CCN(C(=O)N1CCOCC1)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1";"Stability";"'='";"87.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL859665";"Stability in human liver microsomes at 5 uM";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1138176";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";""
"CHEMBL380364";"";"None";"378.27";"0";"3.67";"5n";"CN(C(=O)c1ccncc1)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1";"Stability";"'='";"98.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL859665";"Stability in human liver microsomes at 5 uM";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1138176";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";""
"CHEMBL608441";"";"None";"354.90";"0";"4.36";"44";"CCOC(c1ccc(Cl)cc1)C(n1ccnc1)[S+]([O-])C(C)(C)C";"Stability";"'='";"59.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1066377";"Metabolic stability in human liver microsomes assessed as parent compound remaining after 60 mins";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1159068";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";""
"CHEMBL387285";"";"None";"436.95";"0";"3.77";"1";"O=C(c1cc(Cl)ccc1NS(=O)(=O)c1cccc2nsnc12)N1CCCCC1";"Stability";"'='";"16.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL912954";"Stability in human liver microsome after 30 mins";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1137407";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";""
"CHEMBL1779204";"";"None";"543.33";"1";"4.95";"3";"O=C(O)c1cc(Cl)cc2c1OCC(=O)N2Cc1nnc(CCc2ccc(Cl)cc2)n1CCC(F)(F)F";"Stability";"'='";"95.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1781792";"Metabolic stability in human liver microsomes assessed as compound remaining at 1 uM after 30 mins by liquid chromatography/mass spectrometry analysis";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1777714";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";""
"CHEMBL270193";"";"None";"525.56";"1";"3.97";"31";"CC(C)c1c(-c2nnc(NCCCCN)o2)cn2ncnc(Nc3cc(C(=O)NC4CC4)c(F)cc3F)c12";"Stability";"'='";"0.012";"nmol/min/mg";"";"";"";"";"";"";"";"";"0";"CHEMBL950141";"Metabolic stability in human liver microsomes per mg of protein at 3 uM after 10 mins";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1143868";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";""
"CHEMBL1098172";"";"None";"366.47";"0";"0.95";"32a";"CC1(C)C(=O)N(c2ccc(C#N)cc2)C(=S)N1CCCS(N)(=O)=O";"Stability";"'='";"92.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1121350";"Metabolic stability in human liver microsomes assessed as compound remaining at 1 mM after 15 mins by LC-MS/MS analysis";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1158555";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";""
"CHEMBL1098173";"";"None";"380.50";"0";"1.26";"32b";"Cc1cc(N2C(=O)C(C)(C)N(CCCS(N)(=O)=O)C2=S)ccc1C#N";"Stability";"'='";"94.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1121350";"Metabolic stability in human liver microsomes assessed as compound remaining at 1 mM after 15 mins by LC-MS/MS analysis";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1158555";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";""
"CHEMBL1099086";"";"None";"400.91";"0";"1.60";"32d";"CC1(C)C(=O)N(c2ccc(C#N)c(Cl)c2)C(=S)N1CCCS(N)(=O)=O";"Stability";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1121350";"Metabolic stability in human liver microsomes assessed as compound remaining at 1 mM after 15 mins by LC-MS/MS analysis";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1158555";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";""
